Episode No.,Date Played,Show Title,Artist,Title,Year,Suggested By 1,Suggested By 2,Suggested By 3,Notes
13,2024-07-29,SPORTS!,Dropkick Murphys,Tessie,,@shezza_t,,,
13,2024-07-29,SPORTS!,Slayer,Scrum,,@halesandales,,,
13,2024-07-29,SPORTS!,The Hold Steady,Chips Ahoy!,,@Witewulf,,,
13,2024-07-29,SPORTS!,The Weakerthans,Tournament of Hearts,,@bez_lightyear,,,
13,2024-07-29,SPORTS!,Thousand Yard Stare,0-0 AET,,@sheepnik,,,
13,2024-07-29,SPORTS!,Parquet Courts,Total Football,,@Erased_Citizen,,,
13,2024-07-29,SPORTS!,Squid,Boy Racers In The Park,,@SharonGascoigne,,,
13,2024-07-29,SPORTS!,Huey Lewis & The News,Hip To Be Square,,@Witewulf,,,
13,2024-07-29,SPORTS!,Queen,Bicycle Race,,@petraphoenix,,,
13,2024-07-29,SPORTS!,Fleetwood Mac,The Chain,,Selina,,,
13,2024-07-29,SPORTS!,Bonzo Dog Doo-Dah Band,Sport (The Odd Boy),,@pdcawley,,,
13,2024-07-29,SPORTS!,Kate Bush,Running Up That Hill,,John,,,
13,2024-07-29,SPORTS!,Bob Dylan,Hurricane,,@ametonym,,,
,,,,,,,,,
14,2024-08-05,The Body,The Pains Of Being Pure At Heart,The Body,,,,,
14,2024-08-05,The Body,Kylie Minogue,Can’t Get You Out Of My Head,,,,,
14,2024-08-05,The Body,Justin Timberlake,Rock Your body,,@swisslet,,,
14,2024-08-05,The Body,Air,Biological,,@sodslawyer,,,
14,2024-08-05,The Body,Beastie Boys,Body Movin’,,@witewulf,,,
14,2024-08-05,The Body,Sir Mix-a-lot,Baby Got Back,,@heapy,,,
14,2024-08-05,The Body,Dadi Freyr,Clear My Head,,,,,
14,2024-08-05,The Body,Yong Pil Cho,Bobbed Hair,,Selina,,,
14,2024-08-05,The Body,Pet Shop Boys ,Heart,,@arakin,,,
14,2024-08-05,The Body,Tears For Fears,Head Over Heels,,@nikkileah,,,
14,2024-08-05,The Body,Alanis Morissette,Head Over Feet,,,,,
14,2024-08-05,The Body,Nick Cave & The Bad Seeds,Red Right Hand,,,,,
14,2024-08-05,The Body,Snuff,Arsehole,,@witewulf,,,
14,2024-08-05,The Body,Add N to (X),Metal Fingers in My Body,,@rollotreadway,,,
14,2024-08-05,The Body,The King Blues,Headbutt,,,,,
14,2024-08-05,The Body,King Missile,Detachable Penis,,@arakin,,,
14,2024-08-05,The Body,Half Man Half Biscuit,Restless Legs,,@sheepnik,,,
14,2024-08-05,The Body,ZZ Top,Legs,,@pdcawley,,,
14,2024-08-05,The Body,The Beards,You Should Consider Having Sex With A Bearded Man,,@beardyfoxy,,,
14,2024-08-05,The Body,Cutting Crew,I Just Died In Your Arms Tonight,,@nikkileah,,,
14,2024-08-05,The Body,Echo & The Bunnymen,Lips Like Sugar,,@SharonGascoigne,,,
14,2024-08-05,The Body,PiL,Body,,@truck,,,
14,2024-08-05,The Body,Lowkey,Hand on Your Gun,,@ametonym,,,
14,2024-08-05,The Body,Tom Waits,Eyeball Kid,,@shezza_t,,,
14,2024-08-05,The Body,The Who,Behind Blue Eyes,,,,,
14,2024-08-05,The Body,Sync24,Lungs Full Of Clean Air,,@rhevian,,,
,,,,,,,,,
15,2024-08-12,Summer Holiday!,Bombalurina ,Its Bitsy Teeny Weeny,,@Arakin,,,
15,2024-08-12,Summer Holiday!,Young Galaxy,New Summer,,@Bez_Lightyear,,,
15,2024-08-12,Summer Holiday!,Norma Jenkins,The Airplane Song,,@rollotreadway,,,
15,2024-08-12,Summer Holiday!,Counting Crows,Holiday In Spain,,@nikkileah,,,
15,2024-08-12,Summer Holiday!,Ooberman,Sur La Plage,,@witewulf,,,
15,2024-08-12,Summer Holiday!,Fiddler’s Dram,Day Trip To Bangor,,@witewulf,,,
15,2024-08-12,Summer Holiday!,Janes Addiction,Summertime Rolls,,@SharonGascoigne,,,
15,2024-08-12,Summer Holiday!,Puffy ,Tokyo I’m On My Way,,@beardyfoxy,,,
15,2024-08-12,Summer Holiday!,City Your City & Frasco,Micro Summer,,Selina,,,
15,2024-08-12,Summer Holiday!,Deftones,My Own Summer,,@truck,,,
15,2024-08-12,Summer Holiday!,Spiller,Groovejet,,@heapy,,,
15,2024-08-12,Summer Holiday!,It’s Immaterial,Driving Away From Home,,@rhevian,,,
15,2024-08-12,Summer Holiday!,Don Henley,Boys of Summer,,@sodslawyer,,,
15,2024-08-12,Summer Holiday!,Muse,Sunburn,,Hayley,,,
15,2024-08-12,Summer Holiday!,The Beach Boys,Kokomo,,,,,
15,2024-08-12,Summer Holiday!,Sheryl Crow,Soak Up The Sun,,,,,
15,2024-08-12,Summer Holiday!,Wham!,Club Tropicana,,,,,
15,2024-08-12,Summer Holiday!,Norah Jones,Come Away With Me,,,,,
15,2024-08-12,Summer Holiday!,Radiohead,The Tourist,,,,,
15,2024-08-12,Summer Holiday!,Sex Pistols,Holidays In The Sun,,,,,
15,2024-08-12,Summer Holiday!,Dead Kennedys,Holiday In Cambodia,,,,,
15,2024-08-12,Summer Holiday!,The Go-Go’s,Vacation,,,,,
15,2024-08-12,Summer Holiday!,Madonna ,Holiday,,,,,
15,2024-08-12,Summer Holiday!,Cliff Richard,Summer Holiday,,,,,
15,2024-08-12,Summer Holiday!,Frank Sinatra,Come Fly With Me,,,,,
15,2024-08-12,Summer Holiday!,The Lemon Twigs,A Dream Is All I Know,,@SharonGascoigne,,,
,,,,,,,,,
16,2024-08-19,Time Travel,Arnee & The Terminators,I'll Be Back,,@Arakin,,,
16,2024-08-19,Time Travel,Delia Derbyshire,Doctor Who Theme,,@pdcawley,,,
16,2024-08-19,Time Travel,Orbital,Doctor Who,,Hayley / @sodslawyer,,,
16,2024-08-19,Time Travel,Cher,If I Could Turn Back Time,,@nikkileah / @witewulf,,,
16,2024-08-19,Time Travel,Huey Lewis & The News,The Power Of Love,,@witewulf / @heapy,,,
16,2024-08-19,Time Travel,Busted,Year 3000,,@witewulf,,,
16,2024-08-19,Time Travel,Hawkwind,Silver Machine,,@SharonGascoigne,,,
16,2024-08-19,Time Travel,The KLF,What Time Is Love,,@beardyfoxy,,,
16,2024-08-19,Time Travel,Perfume,Time Warp,,Selina,,,
16,2024-08-19,Time Travel,Rocky Horror,The Time Warp,,@truck,,,
16,2024-08-19,Time Travel,Zager & Evans,In The Year 2525,,@rhevian,,,
16,2024-08-19,Time Travel,David Bowie,Life on Mars,,@rhevian,,,
16,2024-08-19,Time Travel,Landscape,Einstein a Go Go,,@sodslawyer,,,
16,2024-08-19,Time Travel,Flaming Lips,All We Have Is Now,,@rollotreadway,,,
16,2024-08-19,Time Travel,Queen,‘39,,@IanRobinson / @shezza_t / @opinionated geek,,,
16,2024-08-19,Time Travel,Rolling Stones,Time Is On My Side,,@swisslet,,,
16,2024-08-19,Time Travel,Iron Maiden,Somewhere In Time,,@swisslet,,,
16,2024-08-19,Time Travel,Uriah Heep,Traveller In Time,,,,,
16,2024-08-19,Time Travel,Neneh Cherry,Kisses On The Wind,,@daveybot,,,
16,2024-08-19,Time Travel,Grandmaster Caz,The Old School,,@daveybot,,,
,,,,,,,,,
17,2024-08-25,Home,Madness,Our House,,@edross@mas.to,,,
17,2024-08-25,Home,Freddie Mercury ,Living On My Own,,@tigerfort@mendeddrum.org,,,
17,2024-08-25,Home,Soft Cell,Bedsitter,,@sodslawyer@mstdn.social,,,
17,2024-08-25,Home,Talking Heads,Once In A Lifetime,,Hayley,,,
17,2024-08-25,Home,Green Velvet,Preacher Man,,@TLB73@topspicy.social,,,
17,2024-08-25,Home,POTUSA ,Boll Weevil,,@guyjantic@c.im,,,
17,2024-08-25,Home,Commodores,Brick House,,@TheBreadMonkey@beige.party,,,
17,2024-08-25,Home,Dr. John,Sweet Home New Orleans,,@rhevian@mastodonapp.uk,,,
17,2024-08-25,Home,Dolly Parton,Back Home,,@sheepnik@toot.wales,,,
17,2024-08-25,Home,David Ferguson,The Housebuilding Song,,@beardyfoxy@tenforward.social,,,
17,2024-08-25,Home,Clarence ‘Frogman’ Henry,Ain’t got No Home,,@daveybot@mastodon.scot,,,
17,2024-08-25,Home,R Dean Taylor,There’s A Ghost In My House,,@rollotreadway@beige.party,,,
17,2024-08-25,Home,Gil Scott-Heron,Home Is Where The Hatred Is,,@TwoClownsEating@beige.party,,,
17,2024-08-25,Home,Bone Thugs-N-Harmony,Home,,Selina,,,
17,2024-08-25,Home,Gang Starr,The Place We Dwell,,@daveybot@mastodon.scot,,,
17,2024-08-25,Home,Bob Vylan,We Live Here,,,,,
17,2024-08-25,Home,Kyuss,Whitewater,,@heapy@mendeddrum.org,,,
17,2024-08-25,Home,Sugar Ray,Speed Home California,,,,,
17,2024-08-25,Home,Blues Brothers,Sweet Home Chicago,,@stevenixon@mastodon.social,,,
17,2024-08-25,Home,Lynyrd Skynrd,Sweet Home Alabama,,,,,
17,2024-08-25,Home,Rory Gallagher,Going To My Hometown,,@Devonkiwi@mastodonapp.uk,,,
17,2024-08-25,Home,Billy Joel,Movin’ Out (Anthony’s Song),,@swisslet@mas.to,,,
17,2024-08-25,Home,The Weakerthans,This Is A Fire Door Never Leave Open,,,,,
17,2024-08-25,Home,Crowded House,Better Be Home Soon,,@ametonym@todon.eu,,,
17,2024-08-25,Home,The Housemartins,Build,,@witewulf@mastodonapp.uk,,,
17,2024-08-25,Home,The Divine Comedy,Sunrise,,@shezza_t@mastodon.social,,,
17,2024-08-25,Home,John Denver,"Country Roads, Take Me Home",,@sharongascoigne@mastodonapp.uk,,,
17,2024-08-25,Home,Simon & Garfunkel,Homeward Bound,,@bBuck@mastodon.social,,,
17,2024-08-25,Home,Mark Knopfler,Going Home (Theme From Local Hero),,@stevenixon@mastodon.social,,,
,,,,,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Gloria Jones,Tainted Love,,@COMPU73E@mstdn.games @petraphoenix,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",John Kongos,Step On,,@heapy@mendeddrum.org,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Betty Hutton,It’s Oh So Quiet,,@swisslet@mas.to,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Bucks Fizz,What’s Love Got To Do With It,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Otis Redding,Respect,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Marvin Gaye,Wherever I Lay My Hat,,@rhevian@mastodonapp.uk,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Cleveland Simmons Group,Histe Up The John B’s Sails,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",The Four Lads,Instanbul (Not Constantinople),,@swisslet@mas.to,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Boffalongo,Dancing In The Moonlight,,@arakin@meow.social,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Brian Eno & John Cale,Spinning Away,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Labi Siffre,It Must Be Love,,@tigerfort@mendeddrum.org,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Tommy James & The Shondells,I Think We’re Alone Now,,@witewulf@mastodonapp.uk,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Robert Hazard,Girls Just Wanna Have Fun,,@intheseheels@mastodonapp.uk,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",The Nerves,Hanging On The Telephone,,@prl@hachyderm.io,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",The Arrows,I Love Rock And Roll,,@hailsandales@metalhead.club,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Dandy Livingstone,"Rudy, A Message To You",,@rollotreadway@beige.party,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Screaming’ Jay Hawkins,I Put A Spell On You,,@TwoClownsEating@beige.party,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Black Sabbath,Supernaut,,@sharongascoigne@mastodonapp.uk,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Fleetwood Mac,Black Magic Woman,,@artnacrea@mastodon.ie,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Iggy Pop,China Girl,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Yellow Magic Orchestra,Behind The Mask,,@witewulf@mastodonapp.uk,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Lis Sorensen,Brændt,,@stuart@cyberpunk.gmbh,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Bruce Springsteen,Because The Night,,,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Bob Dylan,All Along The Watchtower,,@nanode@social.consummatetinkerer.net,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Tom Waits,Jersey Girl,,@shezza_t@mastodon.social,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Tom Waits,Downtown Train,,@swisslet@mas.to,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Prince,Love Thy Will Be Done,,@daveybot@mastodon.scot,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",James Ray,I’ve Got My Mind Set On You,,Via @stevenixon@mastodon.social,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Bruce Woolley,Video Killed The Radio Star,,@stevenixon@mastodon.social,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Rolling Stones,I'm Free,,@sodslawyer@mstdn.social,,,
18,2024-09-02,"Huh, I Didn’t Know That Was A Cover",Peggy Seeger,The First Time Ever I Saw Your Face,,@sheepnik@toot.wales @pdcawley,,,
,,,,,,,,,
19,2024-09-09,Birthdays,Fugazi ,Birthday Pony,,,,,
19,2024-09-09,Birthdays,Bright Eyes,First Day of My Life,,,,,
19,2024-09-09,Birthdays,Reef,Yer Old,,@rvedotrc@tech.lgbt,,,
19,2024-09-09,Birthdays,DJ Yoda,Let's Get Old,,@daveybot@mastodon.scot,,,
19,2024-09-09,Birthdays,Steely Dan,Reelin’ in The Years,,@stevenixon@mastodon.social,,,
19,2024-09-09,Birthdays,Cyndi Lauper,Time After Time,,@stevenixon@mastodon.social,,,
19,2024-09-09,Birthdays,The Sugarcubes,Birthday,,@witewulf@mastodonapp.uk,,,
19,2024-09-09,Birthdays,Korn,Let’s Get This Party Started,,@witewulf@mastodonapp.uk,,,
19,2024-09-09,Birthdays,Lesley Gore,It’s My Party,,@witewulf@mastodonapp.uk,,,
19,2024-09-09,Birthdays,Moby,Sunday (The Day Before My Birthday),,@rhevian@mastodonapp.uk,,,
19,2024-09-09,Birthdays,Paul Simon ,Born At The Right Time,,@sheepnik@toot.wales,,,
19,2024-09-09,Birthdays,Scott Walker,The Old Man’s Back Again,,@rollotreadway@beige.party,,,
19,2024-09-09,Birthdays,Stevie Wonder,Happy Birthday,,@everyone,,,
19,2024-09-09,Birthdays,The Smiths,Unhappy Birthday,,@sharongascoigne@mastodonapp.uk,,,
19,2024-09-09,Birthdays,The Specials,Enjoy Yourself,,@sodslawyer@mstdn.social,,,
19,2024-09-09,Birthdays,The Birthday Party,Release The Bats,,@shivviness@beige.party,,,
19,2024-09-09,Birthdays,Harry Chapin,Cats In The Cradle,,@intheseheels@mastodonapp.uk,,,
19,2024-09-09,Birthdays,Pokey Lafarge ,Drinkin’ Whiskey Tonight,,@artnacrea@mastodon.ie,,,
19,2024-09-09,Birthdays,Julian Cope,Kolly Kibbler’s Birthday,,@sodslawyer@mstdn.social,,,
19,2024-09-09,Birthdays,Faith No More,Midlife Crisis,,@swisslet@mas.to,,,
19,2024-09-09,Birthdays,They Might Be Giants,Older,,@swisslet@mas.to,,,
19,2024-09-09,Birthdays,Muse,New Born,,@Erased_Citizen@mastodonapp.uk,,,
19,2024-09-09,Birthdays,Dethklok,Birthday Dethday,,@7sleepersmusic@mastodon.social,,,
19,2024-09-09,Birthdays,Twista,Birthday,,@brothersoul@mstdn.social,,,
19,2024-09-09,Birthdays,Jilted John,The Birthday Kiss,,@TheBreadMonkey@beige.party,,,
19,2024-09-09,Birthdays,Electric Youth,A Real Hero,,@TheBreadMonkey@beige.party,,,
19,2024-09-09,Birthdays,Kyuss,Happy Birthday,,@heapy@mendeddrum.org,,,
19,2024-09-09,Birthdays,Altered Images,Happy Birthday,,@arakin@meow.social,,,
,,,,,,,,,
20,2024-09-16,My Hometown,The Beatles,The Ballad of John & Yoko,,,,,
20,2024-09-16,My Hometown,Cats UK,Luton Airport,,@rhevian@mastodonapp.uk,,,
20,2024-09-16,My Hometown,The Lancashire Hotpots,Chippy Tea,,@heapy@mendeddrum.org,,,
20,2024-09-16,My Hometown,The Beautiful South,Rotterdam (Or Anywhere),,@petraphoenix@mendeddrum.org,,,
20,2024-09-16,My Hometown,Copper Family,Spencer The Rover,,@pierscawley@mendeddrum.org,,,
20,2024-09-16,My Hometown,The Wave Pictures,A Letter From Hull,,@witewulf@mastodonapp.uk,,,
20,2024-09-16,My Hometown,John Renbourn,Scarborough Fair,,@patterfloof@meow.social,,,
20,2024-09-16,My Hometown,Franka Potente,Believe,,@arakin@meow.social,,,
20,2024-09-16,My Hometown,Frank Turner,Wessex Boy,,,,,
20,2024-09-16,My Hometown,Mark Knopfler,Why Aye Man!,,@stevenixon@mastodon.social,,,
20,2024-09-16,My Hometown,Lindisfarne,Fog on the Tyne,,@artnacrea@mastodon.ie,,,
20,2024-09-16,My Hometown,Half Man Half Biscuit,For What Is Chatteris,,@sheepnik@toot.wales,,,
20,2024-09-16,My Hometown,Bruce Springsteen,Streets of Philadelphia,,@daveybot@mastodon.scot,,,
20,2024-09-16,My Hometown,The Specials,Ghost Town,,@sharongascoigne@mastodonapp.uk,,,
20,2024-09-16,My Hometown,Tinie Tempah,Pass Out,,,,,
20,2024-09-16,My Hometown,The Wolfgang Press,Birmingham,,@sodslawyer@mstdn.social,,,
20,2024-09-16,My Hometown,West Wickhams,The Conformist,,@TheBreadMonkey@beige.party,,,
20,2024-09-16,My Hometown,Portishead,Glory Box,,Hayley,,,
20,2024-09-16,My Hometown,The Proclaimers,Sunshine on Leith,,@daveybot@mastodon.scot,,,
20,2024-09-16,My Hometown,Buckethead,Nottingham Lace,,@beardyfoxy@tenforward.social,,,
20,2024-09-16,My Hometown,Paul Kelly,Adelaide,,@brulzki@hachyderm.io,,,
20,2024-09-16,My Hometown,The Front Lawn,Tomorrow Night,,@ptoothfish@mastodon.nz,,,
20,2024-09-16,My Hometown,Mike Oldfield,Portsmouth,,@shinydan@mendeddrum.org,,,
20,2024-09-16,My Hometown,Carl Emil Peterson,Amager Forbrænding,,@rvedotrc@tech.lgbt,,,
20,2024-09-16,My Hometown,Clifford T. Ward,Home Thoughts From Abroad,,@phil_lench@mastodonapp.uk,,,
20,2024-09-16,My Hometown,Johnny Cash,Forty Shades of Green,,@intheseheels@mastodonapp.uk,,,
20,2024-09-16,My Hometown,The Unthanks,Fareweel Regality,,@rollotreadway@beige.party,,,
,,,,,,,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Jimi Hendrix,Crosstown Traffic,,@artnacrea@mastodon.ie,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Spirea X,Jet Pilot,,@bez_lightyear@crispsandwi.ch,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Gaz Coombes,Turn The Car Around,,@sharongascoigne@mastodonapp.uk,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Iggy Pop,The Passenger,,@tigerfort@mendeddrum.org,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Kenny Loggins,Danger Zone,,@stevenixon@mastodon.social,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Stan Bush,Dare (From Transformers),,@arakin@meow.social,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Adam & The Ants,Car Trouble,,@sodslawyer@mstdn.social,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Red Hot Chili Peppers,Aeroplane,,@stevenixon@mastodon.social,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Lonnie Donegan,Rock Island Line,,@swisslet@mas.to,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Lord Kitchener,The Underground Train,,@rollotreadway@beige.party,,,
21,2024-09-23,"Planes, Trains, & Automobiles","Peter, Paul and Mary",Leaving On A Jet Plane,,@JeriDansky@sfba.social,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Air,Alone In Kyoto,,@witewulf@mastodonapp.uk,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Cake,The Distance,,@daveybot@mastodon.scot,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Gladys Knight & The Pips,Midnight Train To Georgia,,@swisslet@mas.to,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Ministry,Jesus Built My Hotrod,,,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Rob Zombie,Dragula,,@intheseheels@mastodonapp.uk,,,
21,2024-09-23,"Planes, Trains, & Automobiles",The Prodigy,Full Throttle,,@daveybot@mastodon.scot,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Kyuss,Gardenia,,@heapy@mendeddrum.org,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Chris Spedding,Motorbiking,,@artnacrea@mastodon.ie,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Guns n’ Roses,Night Train,,@swisslet@mas.to,,,
21,2024-09-23,"Planes, Trains, & Automobiles",David Bowie,Always Crashing In The Same Car,,@rollotreadway@beige.party,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Pink Floyd,Learning To Fly,,@rhevian@mastodonapp.uk,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Quad City DJs,C’Mon Ride It (The Train),,@7sleepersmusic@mastodon.social,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Chico Science & Naç Zumbi,"Rios, Pontes, e Overdrives",,@sheepnik@toot.wales,,,
21,2024-09-23,"Planes, Trains, & Automobiles",OMD,Enola Gay,,@witewulf@mastodonapp.uk,,,
21,2024-09-23,"Planes, Trains, & Automobiles",Kraftwerk,Autobahn,,@shinydan@mendeddrum.org,,,
,,,,,,,,,
22,2024-09-30,UnEnglish,O-Zone,Dragostea Din Tei,,@stevenixon@mastodon.social,,,Moldovan
22,2024-09-30,UnEnglish,Panjabi MC,Mundian Te Bach Ke,,,,,Punjabi
22,2024-09-30,UnEnglish,Patea Maori Club,Poi E,,@artnacrea@mastodon.ie,,,Maori
22,2024-09-30,UnEnglish,Los Lobos,La Bamba,,@witewulf@mastodonapp.uk,,,Spanish
22,2024-09-30,UnEnglish,Adriano Celentano,Prisencolinensinainciusol,,@daveybot@mastodon.scot,,,Gibberish
22,2024-09-30,UnEnglish,Geoffrey Oryema,Piri Wango Lya,,@rhevian@mastodonapp.uk,,,Ugandan
22,2024-09-30,UnEnglish,Ismael Lo,Tajabone,,@ametonym@todon.eu,,,Wolof (Senegal)
22,2024-09-30,UnEnglish,The Gentle Good,Yr Wylan Fry,,@rollotreadway@beige.party,,,Welsh (Chinese folk)
22,2024-09-30,UnEnglish,Polly,Ghost,,Selina,,,Korean
22,2024-09-30,UnEnglish,Malika Ayane,Senza Sul Serio,,@troggie@mendeddrum.org,,,Italian
22,2024-09-30,UnEnglish,KNEECAP,C.E.A.R.T.A.,,,,,Irish
22,2024-09-30,UnEnglish,Bhangra Knights vs Husan,Husan,,@arakin@meow.social,,,Punjabi
22,2024-09-30,UnEnglish,Kazik,12 Groszy,,@sodslawyer@mstdn.social,,,Polish
22,2024-09-30,UnEnglish,Stromae,Tous les Memes,,@roknrol@beige.party,,,French
22,2024-09-30,UnEnglish,Tricot,Afureru,,@bez_lightyear@crispsandwi.ch,,,Japanese
22,2024-09-30,UnEnglish,Rammstein,Du Hast,,@witewulf@mastodonapp.uk @swisslet,,,German
22,2024-09-30,UnEnglish,Alcest,Flamme Jumelle,,@theplaguedoc@glitterkitten.co.uk,,,French
22,2024-09-30,UnEnglish,Gorkys Zygotic Mynci,Merched Yn Neud Gwallt Eu Gilydd,,@sheepnik@toot.wales,,,Welsh
22,2024-09-30,UnEnglish,Heilung ,Norupo,,@sharongascoigne@mastodonapp.uk,,,Old Norse
22,2024-09-30,UnEnglish,Bulgarian TV & Radio Folklore Ensemble,Piletze Pee,,@pdcawley@mendeddrum.org,,,Bulgarian
22,2024-09-30,UnEnglish,Tinariwen,Tenere Taqqim Tossam,,@Psotle@mendeddrum.org,,,Tuareg
22,2024-09-30,UnEnglish,Miguel Bosé,Boys Don’t Cry,,@Tattooed_Mummy@beige.party,,,Spanish
22,2024-09-30,UnEnglish,Sigur Ros,Hoppipolla,,@Patrick@mendeddrum.org,,,Icelandic / Hopelandic (Volenska)
22,2024-09-30,UnEnglish,Thomas Helmig,Malaga,,@rvedotrc@tech.lgbt,,,Danish
22,2024-09-30,UnEnglish,Drain,A Day Like Today,,@beardyfoxy@tenforward.social,,,Korean
22,2024-09-30,UnEnglish,Blur,To The End (French Version),,@swisslet@mas.to,,,French
22,2024-09-30,UnEnglish,Falco,Der Kommisar,,,,,German
,,,,,,,,,
23,2024-10-07,Black History Month,The Bellrays,Black Lightning,,,,,
23,2024-10-07,Black History Month,Bloc Party,Helicopter,,@swisslet@mas.to,,,
23,2024-10-07,Black History Month,Death,Keep On Knocking,,,,,
23,2024-10-07,Black History Month,Jr Walker & The Allstars,(I’m A) Road Runner,,@artnacrea@mastodon.ie,,,
23,2024-10-07,Black History Month,James Brown,Say It Loud - I’m Black And I’m Proud,,@brothersoul@mstdn.social,,,
23,2024-10-07,Black History Month,Alemayehu Eschete,Betchayen Tegodahu,,@sheepnik@toot.wales,,,
23,2024-10-07,Black History Month,Bobby McFerrin,Drive (live),,@troggie@mendeddrum.org,,,
23,2024-10-07,Black History Month,Childish Gambino,This Is America,,@daveybot@mastodon.scot,,,
23,2024-10-07,Black History Month,A Guy Called Gerald,Voodoo Ray,,@heapy@mendeddrum.org,,,
23,2024-10-07,Black History Month,Mcalmont & Butler,Yes,,@daveybot@mastodon.scot,,,
23,2024-10-07,Black History Month,Angeline Morrison,Unknown African Boy (d. 1830),,@pdcawley@mendeddrum.org,,,
23,2024-10-07,Black History Month,Bob Marley,Redemption Song,,@sharongascoigne@mastodonapp.uk,,,
23,2024-10-07,Black History Month,Boney M,Rasputin,,@alicemcalicepants@ohai.social,,,
23,2024-10-07,Black History Month,Bob Vylan,GDP,,,,,
23,2024-10-07,Black History Month,Maafa,Not Your Exotic,,,,,
23,2024-10-07,Black History Month,Cold Gawd,Sweet Jesus Wept Shit,,@bez_lightyear@crispsandwi.ch,,,
23,2024-10-07,Black History Month,Thin Lizzy,Black Boys On The Corner,,@witewulf@cyberplace.social,,,
23,2024-10-07,Black History Month,The Funkees,Akpankoro,,@rollotreadway@beige.party,,,
23,2024-10-07,Black History Month,Miles Davis ,E.S.P,,@witewulf@cyberplace.social,,,
23,2024-10-07,Black History Month,Ornette Coleman,Lonely Woman,,@sodslawyer@mstdn.social,,,
23,2024-10-07,Black History Month,John Lee Hooker,"One Bourbon, One Scotch, One Beer",,@rhevian@mastodonapp.uk,,,
23,2024-10-07,Black History Month,Rob,"Make it Fast, Make it Slow",,@rollotreadway@beige.party,,,
23,2024-10-07,Black History Month,Skunk Anansie,Selling Jesus,,@intheseheels@mastodonapp.uk,,,
23,2024-10-07,Black History Month,Zeal & Ardor,In Ashes,,@swisslet’s Tattoo artist Jai,,,
23,2024-10-07,Black History Month,Zulu,Where I’m From,,@Truck@icosahedron.website,,,
23,2024-10-07,Black History Month,Skindred,Unstoppable,,@beardyfoxy@tenforward.social,@theplaguedoc@glitterkitten.co.uk,,
